"date","Mean.Temp","Mena.Humidity","Mean.Visib","Mean.Wind","Types"
2015-11-20,42,27,10,9,"Sunny"
2015-11-21,45,38,10,9,"Rain"
2015-11-22,34,53,10,12,"Sunny"
2015-11-23,30,44,10,6,"Sunny"
2015-11-24,40,56,10,6,"Sunny"
2015-11-25,45,52,10,6,"Sunny"
2015-11-26,53,48,10,9,"Sunny"
2015-11-27,59,60,10,10,"Sunny"
2015-11-28,52,90,4,7,"Rain"
2015-11-29,40,90,4,6,"Fog-Rain"
2015-11-30,40,77,9,6,"Sunny"
2015-12-01,52,91,4,7,"Fog-Rain"
2015-12-02,46,88,5,6,"Rain"
2015-12-03,36,76,10,11,"Rain-Snow"
2015-12-04,42,65,10,8,"Sunny"
2015-12-05,38,82,4,3,"Fog"
2015-12-06,38,83,3,2,"Fog"
2015-12-07,39,76,5,4,"Sunny"
2015-12-08,40,78,9,6,"Sunny"
2015-12-09,45,72,8,8,"Fog-Rain"
2015-12-10,52,74,9,8,"Sunny"
2015-12-11,54,71,10,9,"Sunny"
2015-12-12,62,73,10,9,"Sunny"
2015-12-13,60,77,10,7,"Sunny"
2015-12-14,58,76,7,9,"Rain"
2015-12-15,48,71,10,12,"Rain"
2015-12-16,50,64,10,5,"Sunny"
2015-12-17,45,83,6,8,"Rain"
2015-12-18,32,70,8,8,"Snow"
2015-12-19,30,55,10,14,"Snow"
2015-12-20,32,47,10,7,"Sunny"
2015-12-21,48,52,10,11,"Rain"
2015-12-22,56,84,8,10,"Rain"
2015-12-23,58,78,10,8,"Sunny"
2015-12-24,57,75,9,9,"Rain"
2015-12-25,56,84,9,7,"Rain"
2015-12-26,52,81,8,8,"Rain"
2015-12-27,54,85,8,12,"Rain"
2015-12-28,40,76,10,11,"Rain"
2015-12-29,50,73,10,13,"Sunny"
2015-12-30,46,74,10,5,"Sunny"
2015-12-31,36,78,9,8,"Snow"
2016-01-01,33,65,10,13,"Sunny"
2016-01-02,32,64,10,10,"Sunny"
2016-01-03,32,67,10,11,"Snow"
2016-01-04,22,68,7,9,"Fog-Snow"
2016-01-05,18,54,10,4,"Sunny"
2016-01-06,28,50,8,5,"Sunny"
2016-01-07,36,41,10,1,"Sunny"
2016-01-08,35,74,7,4,"Rain"
2016-01-09,48,83,7,8,"Fog-Rain"
2016-01-10,36,79,7,14,"Rain-Snow"
2016-01-11,20,62,10,13,"Snow"
2016-01-12,24,78,3,13,"Fog-Snow"
2016-01-13,12,64,10,13,"Snow"
2016-01-14,32,58,10,11,"Sunny"
2016-01-15,46,57,10,9,"Rain"
2016-01-16,38,80,8,10,"Fog-Rain-Snow"
2016-01-17,22,70,7,9,"Snow"
2016-01-18,10,62,8,14,"Snow"
2016-01-19,12,62,10,12,"Snow"
2016-01-20,15,77,5,5,"Snow"
2016-01-21,19,72,9,6,"Sunny"
2016-01-22,20,77,5,6,"Fog-Snow"
2016-01-23,24,77,3,10,"Fog-Snow"
2016-01-24,20,73,10,7,"Sunny"
2016-01-25,32,60,8,8,"Sunny"
2016-01-26,42,67,10,13,"Rain"
2016-01-27,29,63,10,10,"Sunny"
2016-01-28,33,65,9,10,"Snow"
2016-01-29,30,70,7,12,"Fog-Snow"
2016-01-30,38,48,10,10,"Sunny"
2016-01-31,56,46,10,11,"Sunny"
2016-02-01,48,72,10,11,"Rain"
2016-02-02,40,64,10,7,"Sunny"
2016-02-03,56,76,9,13,"Rain"
2016-02-04,38,63,10,8,"Sunny"
2016-02-05,32,60,10,8,"Snow"
2016-02-06,36,47,10,9,"Sunny"
2016-02-07,38,47,10,7,"Sunny"
2016-02-08,40,72,10,8,"Rain"
2016-02-09,30,83,3,8,"Fog-Snow"
2016-02-10,21,72,4,15,"Snow"
2016-02-11,16,62,8,14,"Snow"
2016-02-12,14,73,6,9,"Snow"
2016-02-13,12,64,5,14,"Snow"
2016-02-14,11,61,10,6,"Sunny"
2016-02-15,28,86,4,8,"Fog-Rain-Snow"
2016-02-16,34,89,3,6,"Fog-Rain-Snow"
2016-02-17,31,82,7,6,"Fog-Snow"
2016-02-18,26,56,10,5,"Sunny"
2016-02-19,43,41,10,11,"Sunny"
2016-02-20,60,41,10,20,"Sunny"
2016-02-21,48,51,10,5,"Sunny"
2016-02-22,40,55,10,6,"Sunny"
2016-02-23,44,61,10,7,"Rain-Thunderstorm"
2016-02-24,52,81,8,12,"Rain-Thunderstorm"
2016-02-25,37,76,5,16,"Fog-Rain-Snow"
2016-02-26,27,59,8,11,"Snow"
2016-02-27,34,57,10,9,"Sunny"
2016-02-28,50,42,10,14,"Sunny"
2016-02-29,48,59,10,17,"Rain"
2016-03-01,50,61,8,11,"Rain"
2016-03-02,32,61,10,15,"Snow"
2016-03-03,28,73,6,4,"Snow"
2016-03-04,32,81,5,3,"Snow"
2016-03-05,36,62,10,2,"Snow"
2016-03-06,38,71,9,5,"Sunny"
2016-03-07,48,49,10,10,"Sunny"
2016-03-08,60,42,10,9,"Sunny"
2016-03-09,62,45,10,11,"Sunny"
2016-03-10,59,77,9,9,"Rain"
2016-03-11,48,79,9,7,"Rain"
2016-03-12,52,60,10,4,"Sunny"
2016-03-13,54,72,9,7,"Rain"
2016-03-14,58,81,9,9,"Rain"
2016-03-15,54,84,8,5,"Rain"
2016-03-16,60,54,10,9,"Sunny"
2016-03-17,52,36,10,10,"Sunny"
2016-03-18,48,40,10,10,"Sunny"
2016-03-19,36,77,8,4,"Rain-Snow"
2016-03-20,34,82,4,5,"Snow"
2016-03-21,34,68,9,7,"Snow"
2016-03-22,44,43,10,9,"Sunny"
2016-03-23,60,34,10,11,"Sunny"
2016-03-24,62,52,10,11,"Rain"
2016-03-25,47,75,9,11,"Rain"
2016-03-26,44,56,10,4,"Sunny"
2016-03-27,58,52,10,7,"Sunny"
2016-03-28,49,76,9,14,"Rain"
2016-03-29,43,55,10,9,"Sunny"
2016-03-30,49,36,10,8,"Sunny"
2016-03-31,64,43,10,13,"Rain"
